date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:20	176416/176416	---M--	200	added ('OK')	application/font-woff	etag:%222b120-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.woff?v=2.4.85	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.woff	(from https://koki.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
17:16:21	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f24.eot?-fvbane	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f249f24.eot	(from https://koki.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
17:16:21	358456/358456	---M--	200	added ('OK')	application/x-font-ttf	etag:%2257838-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.ttf?v=2.4.85	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.ttf	(from https://koki.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
17:16:21	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themifyd41d.eot?	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themifyd41dd41d.eot	(from https://koki.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
17:16:21	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.woff	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.woff	(from https://koki.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
17:16:22	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%22132f8-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.ttf	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.ttf	(from https://koki.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
17:16:22	234630/234630	---M--	200	added ('OK')	image/svg+xml	etag:%2239486-58dd9fd247d80%22	https://koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f24.svg?-fvbane	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f249f24.svg	(from https://koki.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
17:16:22	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:23	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot?	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400d41d.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:23	84772/84772	---M--	200	added ('OK')	application/font-woff2	etag:%2214b24-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff2	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff2	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
